"id","user_id","created_at","updated_at","name","secret"
"30","1","2013-12-01 23:11:35","2013-12-01 23:11:35","Thai's Schedule (Revised)","5d0ab8"
"33","1","2013-12-02 12:03:58","2013-12-02 12:03:58","SKE11's Schedule","7f82b5"
"40","5","2013-12-02 13:36:24","2013-12-02 14:33:30","Beam_Magic's SKE09 Y3T1","b96449"
"41","1","2013-12-02 13:49:36","2013-12-02 13:49:36","SKE09 Y3T1 Schedule","807239"
"42",NULL,"2013-12-02 13:57:20","2013-12-02 13:57:20","Test Schedule","303b8a"
"43","6","2013-12-02 14:13:27","2013-12-02 14:13:27","Universez","36448a"
"44","7","2013-12-02 16:28:55","2013-12-02 16:31:33","3-2","28fe5a"
