"id","course_id","credits_lecture","credits_lab","schedule_id","name","display_name"
"84","01219111","3","0","33","Object-Oriented Programming I","OOP 1"
"85","01355112","3","0","33","Foundation English II","Eng 2"
"102","01219331","3","0","30","Database Design & Programming","Database"
"103","01219362","3","0","30","Machine Learning",
"145","01219482","3","0","41","Hypermedia Presentation","Hypermedia"
"146","01219347","3","0","41","Workgroup Software Development Process","TSP"
"147","01219348","0","1","41","Workgroup Software Development Process Lab.","TSP"
"148","01219331","3","0","41","Database Design & Programming","Database"
"182","01204351","3","0","44","Database",
"185","01204341","3","0","44","Software Engineer",
