"ku_course_id","year","semester","fetched_at","timetable"
"01175155","56","2","2013-12-02 16:21:16","{""sections"":[{""sectionNo"":""11"",""type"":""1"",""instructor"":""Ouaypon"",""studentsAccepted"":999,""studentsEnrolled"":38,""periods"":[{""day"":2,""start"":""13:00"",""finish"":""15:00"",""place"":""\u0e40\u0e23\u0e37\u0e2d\u0e19\u0e22\u0e39\u0e42\u0e14""}]},{""sectionNo"":""12"",""type"":""1"",""instructor"":""Ouaypon"",""studentsAccepted"":999,""studentsEnrolled"":29,""periods"":[{""day"":3,""start"":""13:00"",""finish"":""15:00"",""place"":""\u0e40\u0e23\u0e37\u0e2d\u0e19\u0e22\u0e39\u0e42\u0e14""}]},{""sectionNo"":""13"",""type"":""1"",""instructor"":""Ouaypon"",""studentsAccepted"":999,""studentsEnrolled"":27,""periods"":[{""day"":3,""start"":""15:00"",""finish"":""17:00"",""place"":""\u0e40\u0e23\u0e37\u0e2d\u0e19\u0e22\u0e39\u0e42\u0e14""}]},{""sectionNo"":""14"",""type"":""1"",""instructor"":""Ouaypon"",""studentsAccepted"":999,""studentsEnrolled"":33,""periods"":[{""day"":4,""start"":""13:00"",""finish"":""15:00"",""place"":""\u0e40\u0e23\u0e37\u0e2d\u0e19\u0e22\u0e39\u0e42\u0e14""}]}],""lecCredit"":0,""labCredit"":1,""courseName"":""Judo"",""courseId"":""01175155""}"
"01204332","56","2","2013-12-02 16:19:19","{""sections"":[{""sectionNo"":""1"",""type"":""0"",""instructor"":""Putchong"",""studentsAccepted"":999,""studentsEnrolled"":56,""periods"":[{""day"":2,""start"":""09:00"",""finish"":""12:00"",""place"":""E 204""}]},{""sectionNo"":""700"",""type"":""0"",""instructor"":""Chakkrit"",""studentsAccepted"":999,""studentsEnrolled"":55,""periods"":[{""day"":1,""start"":""14:30"",""finish"":""16:00"",""place"":""-""},{""day"":3,""start"":""09:00"",""finish"":""10:30"",""place"":""-""}]}],""lecCredit"":3,""labCredit"":0,""courseName"":""Operating Systems"",""courseId"":""01204332""}"
"01204451","56","1","2013-12-02 16:18:40","{""sections"":[{""sectionNo"":""1"",""type"":""0"",""instructor"":""Kitsana"",""studentsAccepted"":999,""studentsEnrolled"":20,""periods"":[{""day"":4,""start"":""09:00"",""finish"":""12:00"",""place"":""E 603""}]}],""lecCredit"":3,""labCredit"":0,""courseName"":""Database Systems Design"",""courseId"":""01204451""}"
"01204496","56","2","2013-12-02 16:19:49","{""sections"":[{""sectionNo"":""1"",""type"":""0"",""instructor"":""Preeda"",""studentsAccepted"":999,""studentsEnrolled"":36,""periods"":[{""day"":2,""start"":""13:00"",""finish"":""16:00"",""place"":""E 204""}]},{""sectionNo"":""2"",""type"":""0"",""instructor"":""Charay"",""studentsAccepted"":999,""studentsEnrolled"":9,""periods"":[{""day"":2,""start"":""13:00"",""finish"":""16:00"",""place"":""E 202""}]}],""lecCredit"":3,""labCredit"":0,""courseName"":""Selected Topics in Computer Engineering"",""courseId"":""01204496""}"
"01204498","56","2","2013-12-02 16:20:20","{""sections"":[{""sectionNo"":""11"",""type"":""1"",""instructor"":""Hutchatai"",""studentsAccepted"":999,""studentsEnrolled"":8,""periods"":[{""day"":1,""start"":""13:00"",""finish"":""16:00"",""place"":""E 202""}]}],""lecCredit"":0,""labCredit"":3,""courseName"":""Special Problems"",""courseId"":""01204498""}"
"01219331","56","1","2013-12-02 15:40:01","{""sections"":[{""sectionNo"":""95"",""type"":""0"",""instructor"":""Siriporn"",""studentsAccepted"":999,""studentsEnrolled"":4,""periods"":[{""day"":1,""start"":""13:00"",""finish"":""16:00"",""place"":""E 204""}]},{""sectionNo"":""450"",""type"":""0"",""instructor"":""Siriporn"",""studentsAccepted"":60,""studentsEnrolled"":50,""periods"":[{""day"":1,""start"":""13:00"",""finish"":""16:00"",""place"":""E 204""}]}],""lecCredit"":3,""labCredit"":0,""courseName"":""Database Design & Programming"",""courseId"":""01219331""}"
